AWARD ID,USASPENDING LINK,TOTAL AWARD FUNDING AMOUNT,RECIPIENT TYPE,RECIPIENT NAME,Address,City,STATE,Zip Code
2232689,https://www.usaspending.gov/award/ASST_NON_2232689_4900/,295000,SMALL BUSINESS,NERRATIVE TECHNOLOGY INC,426 Spring Oak Rd,Camarillo,CALIFORNIA,93010
2136977,https://www.usaspending.gov/award/ASST_NON_2136977_4900/,250104,SMALL BUSINESS,PHYTUNES INC,616 Ramona St,Palo Alto,CALIFORNIA,94301
2304241,https://www.usaspending.gov/award/ASST_NON_2304241_4900/,274981,SMALL BUSINESS,"PRAIRIELEARN, INC.",60 Hazelwood Drive,Champaign,ILLINOIS,61820
2232826,https://www.usaspending.gov/award/ASST_NON_2232826_4900/,294471,SMALL BUSINESS,PRENOSTIK LLC,21 Meadow Gln,Irvine,CALIFORNIA,92602
2136642,https://www.usaspending.gov/award/ASST_NON_2136642_4900/,255719,SMALL BUSINESS,"QUANTWORKS, INC.",202 S Greensboro St,Carrboro,NORTH CAROLINA,27510
2304546,https://www.usaspending.gov/award/ASST_NON_2304546_4900/,295000,SMALL BUSINESS,SHAMRCK SOCIAL IMPACT CORP,925 Laney Walker Blvd,Augusta,GEORGIA,30901-2951
2225635,https://www.usaspending.gov/award/ASST_NON_2225635_4900/,295000,SMALL BUSINESS,"THE LEARNING NETWORK, LLC",1915 Natchez Trce,Allen,TEXAS,75013
2322335,https://www.usaspending.gov/award/ASST_NON_2322335_4900/,999479,SMALL BUSINESS,"VECTECH, INC.",3600 Clipper Mill Rd,Baltimore,MARYLAND,21211
2136210,https://www.usaspending.gov/award/ASST_NON_2136210_4900/,276000,SMALL BUSINESS,VIRTUAL APPRENTICE LLC,1 Research Ct Ste 450,Rockville,MARYLAND,20850
2214955,https://www.usaspending.gov/award/ASST_NON_2214955_4900/,99922,SMALL BUSINESS,WOMEN IN ENGINEERING PROGRAMS & ADVOCATES NETWORK,2001 L St. NW,"Washington, DC",DISTRICT OF COLUMBIA,20036
2137168,https://www.usaspending.gov/award/ASST_NON_2137168_4900/,1018000,SMALL BUSINESS,"ZENOBIA THERAPEUTICS, INC",3550 General Atomics Ct,San Diego,CALIFORNIA,92121
2217732,https://www.usaspending.gov/award/ASST_NON_2217732_4900/,50000,SMALL BUSINESS,ZIKER ENTERPRISES LLC,2769 Sunbonnet Ct,San Jose,CALIFORNIA,95125
