,RECIPIENT.NAME,award_count,total_funding_awarded,Recipient.Type
115,FLORIDA AGRICULTURAL AND MECHANICAL UNIVERSITY,13,5061093,Public Institution of Higher Education
116,FLORIDA ATLANTIC UNIVERSITY,2,905674,Public Institution of Higher Education
117,FLORIDA GULF COAST UNIVERSITY,1,297013,Public Institution of Higher Education
,FEATHER RIVER COMMUNITY COLLEGE DISTRICT,1,750000,Public Institution of Higher Education
118,FLORIDA INSTITUTE OF TECHNOLOGY,1,205280,Private Institution of Higher Education
119,FLORIDA INTERNATIONAL UNIVERSITY,27,12501551,Public Institution of Higher Education
120,FLORIDA MEMORIAL UNIVERSITY,1,400000,Private Institution of Higher Education
121,FLORIDA STATE UNIVERSITY,7,5126354,Public Institution of Higher Education
122,FORDHAM UNIVERSITY,1,367230,Private Institution of Higher Education
123,FORT HAYS STATE UNIVERSITY,1,713832,Public Institution of Higher Education
124,FORT LEWIS COLLEGE,2,445799,Public Institution of Higher Education
125,FORT VALLEY STATE UNIVERSITY,1,398058,Public Institution of Higher Education
126,FOUNDATION FOR PUERTO RICO,1,50000,Private Institution of Higher Education
127,FRAMINGHAM STATE UNIVERSITY,1,1122960,Public Institution of Higher Education
128,FRANKLIN AND MARSHALL COLLEGE,1,318711,Private Institution of Higher Education
129,GALLAUDET UNIVERSITY,2,206095,Private Institution of Higher Education
130,GANNON UNIVERSITY,1,1499998,Private Institution of Higher Education
131,GEORGE MASON UNIVERSITY,16,7311863,Public Institution of Higher Education
132,GEORGE WASHINGTON UNIVERSITY,7,2695371,Private Institution of Higher Education
133,GEORGETOWN UNIVERSITY,2,1179760,Private Institution of Higher Education
134,GEORGIA INSTITUTE OF TECHNOLOGY-MAIN CAMPUS,29,14978780,Public Institution of Higher Education
135,GEORGIA SOUTHERN UNIVERSITY,2,3194798,Public Institution of Higher Education
136,GEORGIA STATE UNIVERSITY ,9,7245309,Public Institution of Higher Education
137,GREEN RIVER COLLEGE,1,99902,Public Institution of Higher Education
138,GRINNELL COLLEGE,1,499553,Private Institution of Higher Education
139,GUSTAVUS ADOLPHUS COLLEGE,1,184999,Private Institution of Higher Education
,HINDS COMMUNITY COLLEGE,1,901102,
140,HAMPTON UNIVERSITY,2,170540,Private Institution of Higher Education
141,HARRIS-STOWE STATE UNIVERSITY,1,1385162,Public Institution of Higher Education
142,HARVARD UNIVERSITY,14,3006534,Private Institution of Higher Education
143,HAVERFORD COLLEGE,1,296325,Private Institution of Higher Education
144,HIGHER EDUCATION CONNECTICUT BOARD OF REGENTS FOR,1,678039,Public Institution of Higher Education
145,HIGHLINE COLLEGE,1,585861,Public Institution of Higher Education
146,HOBART WILLIAM SMITH COLLEGES,1,108714,Private Institution of Higher Education
147,HOFSTRA UNIVERSITY,2,2399992,Private Institution of Higher Education
148,HOLLINS UNIVERSITY,1,74914,Private Institution of Higher Education
149,HOPE COLLEGE,1,501356,Private Institution of Higher Education
150,HOWARD UNIVERSITY,10,4174554,Private Institution of Higher Education
151,HUDSONALPHA INSTITUTE FOR BIOTECHNOLOGY,2,1951661,Private Institution of Higher Education
152,IDAHO STATE UNIVERSITY,1,465008,Public Institution of Higher Education
153,ILLINOIS COLLEGE,1,30218,Private Institution of Higher Education
154,ILLINOIS INSTITUTE OF TECHNOLOGY,5,3025225,Private Institution of Higher Education
155,ILLINOIS STATE UNIVERSITY,2,71189,Public Institution of Higher Education
156,INDIANA UNIVERSITY OF PENNSYLVANIA-MAIN CAMPUS,1,35493,Public Institution of Higher Education
157,INDIANA UNIVERSITY-BLOOMINGTON,29,15425043,Public Institution of Higher Education
158,INDIGENOUS EDUCATION INSTITUTE,1,419774,Private Institution of Higher Education
159,INTER AMERICAN UNIVERSITY OF PUERTO RICO-AGUADILLA,1,298992,Private Institution of Higher Education
160,IONA UNIVERSITY,1,1499978,Private Institution of Higher Education
161,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,20,17349970,Public Institution of Higher Education
162,JACKSON STATE UNIVERSITY,4,3831748,Public Institution of Higher Education
163,JAMES MADISON UNIVERSITY,3,639167,Public Institution of Higher Education
164,JARVIS CHRISTIAN UNIVERSITY,1,1065163,Private Institution of Higher Education
165,JOHN CARROLL UNIVERSITY,2,2599969,Private Institution of Higher Education
166,JOHNS HOPKINS UNIVERSITY,17,12664687,Private Institution of Higher Education
167,JOHNSON COUNTY COMMUNITY COLLEGE,1,1487766,Public Institution of Higher Education
168,JOHNSTON COMMUNITY COLLEGE,1,635012,Public Institution of Higher Education
169,KANSAS CITY KANSAS COMMUNITY COLLEGE,1,745635,Public Institution of Higher Education
170,KANSAS STATE UNIVERSITY,1,700529,Public Institution of Higher Education
171,KEAN UNIVERSITY,4,3515166,Public Institution of Higher Education
172,KENT STATE UNIVERSITY,3,428733,Public Institution of Higher Education
173,KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,1,1649295,Public Institution of Higher Education
174,KENTUCKY STATE UNIVERSITY,1,400000,Public Institution of Higher Education
,KEENSAW STATE UNIVERSITY,7,1638449,
175,KENYON COLLEGE,1,700052,Private Institution of Higher Education
176,KERN COMMUNITY COLLEGE DISTRICT,2,599704,Public Institution of Higher Education
177,KETTERING UNIVERSITY,2,648945,Private Institution of Higher Education
178,KUTZTOWN UNIVERSITY OF PENNSYLVANIA,1,299875,Public Institution of Higher Education
179,LAFAYETTE COLLEGE,3,212541,Private Institution of Higher Education
180,LAS CUMBRES OBSERVATORY GLOBAL TELESCOPE NETWORK,1,234639,Private Institution of Higher Education
181,LAWRENCE TECHNOLOGICAL UNIVERSITY,1,249313,Private Institution of Higher Education
182,LEHIGH CARBON COMMUNITY COLLEGE,1,200000,Public Institution of Higher Education
183,LEHIGH UNIVERSITY,11,12776092,Private Institution of Higher Education
184,LEWIS UNIVERSITY,1,410138,Private Institution of Higher Education
185,LIMESTONE UNIVERSITY,1,774472,Private Institution of Higher Education
186,LINCOLN UNIVERSITY,1,400000,Public Institution of Higher Education
187,LINN-BENTON COMMUNITY COLLEGE,1,347934,Public Institution of Higher Education
188,LONG ISLAND UNIVERSITY,1,316588,Private Institution of Higher Education
189,LOS ANGELES PIERCE COLLEGE,1,400000,Public Institution of Higher Education
190,LOUISIANA STATE UNIVERSITY,12,19852233,Public Institution of Higher Education
191,LOUISIANA UNIV LAFAYETTE,1,74991,Public Institution of Higher Education
192,LOYOLA MARYMOUNT UNIVERSITY,1,74818,Private Institution of Higher Education
193,LOYOLA UNIVERSITY MARYLAND,2,866919,Private Institution of Higher Education
194,LOYOLA UNIVERSITY OF CHICAGO,3,1083719,Private Institution of Higher Education
195,MACALESTER COLLEGE,1,125982,Private Institution of Higher Education
196,MACOMB COMMUNITY COLLEGE,1,649999,Public Institution of Higher Education
197,MANHATTAN COLLEGE,1,39939,Private Institution of Higher Education
198,MARICOPA COUNTY COMMUNITY COLLEGE DISTRICT,3,209945,Public Institution of Higher Education
